"place_lon","place_lat"
-117.851089,33.842863
-95.158936,29.668301
-81.8409045,41.1525105
-118.4119065,34.0207895
-81.9215795,41.4445855
-80.5545375,37.1180195
-83.804475,27.698682
-81.5204785,41.58846
-122.31344,47.3857525
-79.249025,37.331123
-86.1531435,41.674542
-96.053431,41.275721
-75.117998,40.0048655
-84.433106,33.7671945
-96.961483,32.863917
-81.950781,33.5298345
-81.8077615,26.3613605
-74.2454555,40.6242735
-86.7779855,35.9952715
-81.33066,35.7292895
-97.7858035,30.1409935
-82.5670075,35.5390725
-81.068556,29.190223
-77.604684,41.1179365
-123.095999,44.6311335
-77.0143985,38.898603
-96.9596635,32.595264
-82.985772,39.9946835
-87.732013,41.8335845
-86.1429225,39.7795625
-89.876449,32.571032
-120.4703395,34.6544245
-79.02602,35.9194415
-80.9977005,35.0477015
-95.4464865,29.838495
-96.8300925,46.8648825
-96.7617535,32.8198585
-73.362771,40.705082
-77.2369685,38.8051145
-118.1130755,33.8446495
-73.9685415,40.780709
-105.5508905,38.997936
-82.019612,41.3824635
-80.649699,28.117874
-96.5444425,32.924258
-83.742416,43.1702
-75.0910815,40.080594
-78.748399,42.9072065
-81.5386955,30.652365
-104.976767,39.5347935
-104.9220935,39.713563
-115.135165,36.0609645
-73.9487755,40.655138
-110.9155735,32.1893905
-71.079038,41.8995335
-122.3306025,47.614817
-119.827182,39.512436
-86.290863,41.6796555
-77.5783755,38.7508685
-98.14361,26.1990825
-81.705467,41.4959395
-117.397616,33.935822
-83.062448,39.9841725
-84.3338805,33.58564
-95.913642,36.1093915
-85.39135,40.1972405
-83.9638415,35.9824705
-83.1738665,32.6782075
-111.7385665,33.295215
-93.434323,44.7231445
-84.3064885,33.9430725
-84.180557,35.8619035
-78.925679,39.6548345
-84.668414,39.1658995
-97.8618825,27.5005925
-84.658242,39.1870815
-106.4174305,31.793368
-75.9135445,40.3885265
-77.5979445,35.2754815
-105.1233195,39.685852
-88.1615555,30.683649
-73.132697,7.144793
-122.611549,45.711852
-75.7037835,39.4436975
-83.574671,41.6565905
-80.8467855,35.209059
-76.6039565,39.1695855
-74.229107,40.693259
-73.022108,41.5665785
-117.1542695,46.730822
-93.2620465,44.9706105
-122.2286855,37.791994
-81.6835065,41.113262
-93.774755,41.5642575
-78.190531,43.0015345
-88.728421,34.2640735
-84.1920685,34.038017
-92.3640735,30.2189665
-94.7901975,39.0084315
-98.5406515,29.417501
-73.8311875,40.6708795
-97.751876,30.456955
-75.0748885,39.915827
-80.1818345,38.9201425
-87.903243,41.804401
-117.5621525,34.12167
-83.4909575,42.4191315
-81.4701035,41.6353555
-85.9785995,35.8305215
-86.964489,33.3761125
-71.103722,42.3954025
-87.848928,41.499327
-92.3622455,45.309908
-80.3279985,26.0278895
-73.47405,40.7835165
-74.20041,40.434913
-92.0611765,30.206079
-117.104989,32.810012
-81.76466,41.3878385
-95.31704,32.3156615
-86.40961,35.84742
-97.754724,30.3233455
-74.601832,39.317203
-96.835249,33.1501395
-83.2607945,42.146818
-95.7787115,29.721989
-83.056533,42.622007
-82.8942535,42.4958195
-80.964024,41.190482
-82.5700005,34.833736
-76.620482,39.284713
-117.2397795,33.1849205
-80.244984,36.0871685
-81.404855,30.27988
-89.5694915,44.900818
-106.632718,35.1170025
-88.0081985,44.5231735
-83.139281,40.1252735
-104.955612,39.589577
-82.442694,27.9965945
-93.018145,45.067479
-100.0768885,31.1688935
-86.6807375,32.576227
-97.672732,30.5193405
-83.52916,42.528303
-85.5656885,42.290524
-84.1547375,39.6267125
-80.307064,25.976124
-81.633705,38.347486
-77.202398,38.8929345
-78.747369,42.7677015
-84.4703885,33.6312775
-84.412759,42.711251
-87.884865,41.9346305
-106.4886255,35.1742515
-84.312419,37.739209
-118.159729,34.0352975
-122.043373,37.313083
-96.7847265,44.291864
-116.361297,33.7405385
-96.6965625,40.803235
-94.6750935,38.931549
-121.0197745,37.315628
-71.276501,42.8912355
-84.285151,39.862183
-87.837198,41.747512
-86.392482,39.6899065
-73.0701345,40.7984375
-97.9351915,29.8956065
-77.241208,39.0560385
-81.3511495,41.311988
-84.4149105,39.3352155
-88.3157525,42.2481325
-94.4345195,39.2396655
-75.3374935,39.920855
-122.5207275,37.9865425
-88.2059585,41.9761445
-96.621634,32.907642
-85.689502,38.186511
-79.861034,35.1704985
-80.0671055,37.288445
-84.4537245,39.1614505
-80.926628,33.6311395
-97.1356375,32.70185
-84.1140215,40.7524555
-74.1454065,41.059269
-76.510792,38.969966
-87.5334065,33.1966005
-96.7349005,33.0612425
-97.343915,37.6838965
-121.3820915,38.4215345
-90.5510645,38.5862115
-86.791549,36.200008
-84.5398125,39.137038
-86.441236,39.7665555
-87.744706,42.0341165
-84.557899,42.712049
-80.3452625,27.300765
-87.9672925,43.0567225
-122.430277,48.7533525
-78.88398,43.0755705
-93.1056485,44.9415155
-83.099288,42.3527865
-82.8428985,38.725306
-114.087851,51.027664
-75.180025,39.964816
-84.515786,33.846765
-86.013249,42.805194
-105.2426865,40.0239815
-93.3613205,46.4418605
-121.7562785,38.675018
-95.946824,32.9068285
-71.4218325,41.817084
-77.085747,35.120205
-91.537062,41.6473535
-80.360658,25.620761
-79.2725695,43.629311
-75.3671965,40.6252755
-92.4367735,38.3045585
-83.1407835,42.460877
-85.695933,37.9995225
-112.1246765,33.5528625
-82.881943,39.968867
-73.183966,44.4954325
-81.5167515,41.0808775
-89.2232095,37.717654
-80.8377185,40.892067
-71.683502,42.036939
-87.920083,41.172804
-80.8293865,28.584726
-82.6694675,40.3651595
-117.1970825,33.6880475
-122.295229,37.5162205
-80.1491725,26.150368
-79.420865,38.0033755
-72.647523,42.223668
-79.616073,43.555244
-95.5398525,30.1812515
-121.967821,37.37099
-90.9149645,30.4635645
-95.5472695,30.7060885
-84.266174,30.4762155
-96.2916485,30.5854715
-96.8336625,43.453491
-104.8216325,39.5777215
-81.5473325,28.480712
-81.3677725,28.5016785
-84.0107045,9.6323595
-78.4319515,42.0884535
-73.8494415,40.8503475
-77.438513,38.841163
-113.9016475,45.1749185
-74.1426995,40.9947125
-90.011008,29.982601
-89.8223015,38.60528
-87.7899005,41.8871295
-89.0175665,42.2571455
-92.4868215,31.293275
-87.759533,41.708954
-81.657895,36.215092
-72.8815725,41.5990055
-83.377181,42.4842785
-85.7248735,42.9874595
-81.986834,26.63648
-75.770041,42.746617
-80.8645565,35.5684345
-73.860857,40.9445675
-85.6305965,39.0010195
-75.5178975,39.159193
-77.268148,39.3881935
-96.478398,42.5014115
-71.2336905,42.060649
-71.041965,41.935175
-97.116784,32.5735485
-80.1677155,26.062405
-122.4359785,37.7706565
-81.511516,41.1652465
-78.7646315,43.0091165
-75.384245,40.1320755
-91.4010085,30.937336
-81.19485,34.1090235
-76.5686185,42.9480845
-84.4169165,42.759558
-121.8737305,37.331159
-81.972705,28.049601
-89.329708,43.0597175
-118.1567105,33.8091715
-95.604057,45.315755
-89.6998045,29.489602
-122.194398,47.481598
-77.5242255,40.0521585
-79.5869395,40.5710995
-74.030229,40.8750875
-87.875045,42.2401645
-121.2380875,37.8164535
-122.0429745,38.233362
-73.554097,41.0983345
-95.6907325,39.037579
-73.763825,42.7391215
-72.4511725,43.8717565
-73.3921075,40.674621
-86.2705395,45.00118
-97.683644,32.968518
-90.6006005,38.7578375
-95.19268,29.972668
-82.8152355,34.6939215
-115.2344355,36.0188045
-98.8572275,38.884626
-88.1613215,41.748496
-82.809551,40.083204
-78.440651,35.7309075
-121.9986445,37.973327
-79.676229,40.353746
-119.3066075,37.2691755
-83.2914245,42.6516675
-115.223125,36.232915
-71.0887125,42.3136695
-76.7046315,39.154153
-92.131274,34.7519365
-76.911261,38.9582445
-76.4174665,40.090773
-81.5665045,41.514008
-75.072719,39.7516555
-74.7243235,40.0730405
-84.550064,39.346932
-78.6372695,42.910005
-93.6393635,42.0325065
-76.865983,38.8527645
-76.3003825,40.0399505
-61.8117305,44.321234
-76.362276,37.0508965
-91.0907995,30.4591
-121.3007305,38.7631605
-74.0701695,40.944571
-99.750556,32.415051
-118.377313,33.854669
-75.093332,39.880914
-71.178616,42.372046
-94.731341,32.50328
-73.829435,42.6081775
